verbo|traducao|exemplo|nivel
der Hit, -s|o sucesso (música, filme);|Das Lied ist ein großer Hit.|A1
die Hitze (kein Pl.)|o calor|Ich mag die Hitze nicht.|B1
das Hochhaus, -er|o arranha-céu|Wir wohnen in einem Hochhaus.|B1
die Hochschule, -n|a faculdade, a escola superior|Ich studiere an einer Hochschule.|B1
die Hochzeit, -en|o casamento|Die Hochzeit war wunderschön.|A2
der Hof, -e|o pátio, a fazenda|Der Hof ist sehr groß.|B1
die Höhe, -n|a altura, o valor|Die Höhe des Berges ist beeindruckend.|B1
die Hochgeschwindigkeit (kein Plural)|a alta velocidade|Der Zug fährt mit Hochgeschwindigkeit.|B2
das Hobby, -s|o hobby|Mein Hobby ist Lesen.|A1
der Hocker, -|o banco|Der Hocker ist bequem.|B2
die Hochzeit, -en|o casamento|Die Hochzeit war wunderschön. |A2
der Humor, -e (kaum Plural)|o humor|Er hat einen guten Humor. |A2
der Hund, -e|o cachorro|Ich habe einen Hund. |A2
der Hunger (kein Pl.)|a fome|Ich habe Hunger. |A1
die Illustrierte, -n|a revista ilustrada|Ich lese gern Illustrierte. |A2
der Imbiss, -e|o lanche, o quiosque de lanches|Wir essen einen Imbiss. |A2
die Industrie, -n|a indústria|Die Industrie wächst. |A2
das Industrieland, -er|o país industrializado|Deutschland ist ein Industrieland. |B1
die Informationsgesellschaft (fast nie Pl.)|a sociedade da informação|Wir leben in einer Informationsgesellschaft. |B1
die Information, -nen|a informação|Ich brauche mehr Informationen. |A1
die Informationstechnik, -en|a tecnologia da informação|Ich studiere Informationstechnik. |B1
die Informationstechnologie, -en|a tecnologia da informação|Die Informationstechnologie entwickelt sich schnell. |B1
das Insekt, -en|o inseto|Insekten sind wichtig für die Natur. |B2
das Institut, -e|o instituto|Ich arbeite in einem Institut. |A2
das Instrument, -e|o instrumento|Er spielt ein Musikinstrument. |B1
die Intelligenz, -en|a inteligência|Sie hat eine hohe Intelligenz. |B1
das Interesse, -n|o interesse|Ich habe großes Interesse daran. |A2
das Internet (kein Plural)|a internet|Ich surfe gern im Internet. |A1
das Interview, -s|a entrevista|Ich habe ein Interview mit dem Künstler. |A1
die Institution, -en|a instituição|Universitäten sind wichtige Institutionen. |B1
das Inland (kein Plural)|o interior (do país)|Wir verbringen unseren Urlaub im Inland.|B2
der Installateur, -e|o instalador|Der Installateur repariert die Heizung.|B2
der Joghurt, -s|o iogurte|Ich esse gern Joghurt zum Frühstück.|A1
der Job, -s|o trabalho, o emprego|Ich habe einen neuen Job.|A1
der Journalist, -en / die Journalistin, -nen|o jornalista / a jornalista|Der Journalist schreibt einen Artikel.|A1
die Jagd, -en|a caça|Die Jagd ist in diesem Gebiet verboten.|B2
das Jahr, -e|o ano|Das Jahr hat 365 Tage.|A1
die Jahreszeit, -en|a estação do ano|Der Herbst ist meine Lieblingsjahreszeit.|B1
das Jahrhundert, -e|o século|Wir leben im 21. Jahrhundert.|A2
das Jahrtausend, -e|o milênio|Ein Jahrtausend hat tausend Jahre.|B1
das Jahrzehnt, -e|a década|Wir leben im letzten Jahrzehnt des Jahrhunderts.|B1
die Jugend (kein Plural)|a juventude|Die Jugend ist die Zukunft.|B1
die Jugendherberge, -n|o albergue da juventude|Wir übernachten in einer Jugendherberge.|A2
der Kamin, -e|a lareira|Wir sitzen gern am Kamin.|B1
der Kampf, -e|a luta|Das war ein harter Kampf.|A2
die Kampagne, -n|a campanha|Die neue Kampagne ist sehr erfolgreich.|B2
der Kandidat, -en|o candidato|Der Kandidat hat gute Chancen.|B1
die Kanne, -n|o bule, a jarra|Die Kanne ist voll Kaffee.|B1
der Kapitän, -e|o capitão|Der Kapitän steuert das Schiff.|B1
die Karriere, -n|a carreira|Sie macht Karriere in der Firma.|B1
die Karte, -n|o mapa, o cartão |Wo ist die Karte von Berlin? |A2
die Kasse, -n|o caixa |Bitte gehen Sie zur Kasse. |A1
die Kassette, -n|a fita cassete |Ich höre gern alte Kassetten. |A2
die Kaste, -n|a casta |In Indien gab es früher Kasten.|B2
der Katalysator, -en|o catalisador |Der Katalysator reduziert die Schadstoffe.|B2
die Katastrophe, -n|a catástrofe |Die Flut war eine große Katastrophe.|B1
die Katze, -n|o gato |Ich habe eine Katze. |A2
das Kaufhaus, -er|a loja de departamentos |Wir gehen ins Kaufhaus. |A2
der Kellner, - / die Kellnerin, -nen|o garçom / a garçonete |Der Kellner bringt uns das Essen. |A1
der Keller, -|o porão, a cave |Der Keller ist dunkel. |A2
der Kern, -e|o núcleo, o caroço |Der Kern des Problems ist die Kommunikation.|B2
die Kernenergie, -n|a energia nuclear |Kernenergie ist umstritten.|B1
die Kernenergiegewinnung, -en|a geração de energia nuclear |Die Kernenergiegewinnung ist komplex.|B2
die Kernfamilie, -n|a família nuclear |Die Kernfamilie besteht aus Eltern und Kindern.|B1
der Ketchup, -s|o ketchup |Möchtest du Ketchup zu deinen Pommes? |A2
die Kette, -n|a corrente |Die Kette ist aus Silber.|B2
der Kindergarten, -|o jardim de infância |Meine Tochter geht in den Kindergarten. |A2
die Kinderkrippe, -n|a creche |Das Baby geht in die Kinderkrippe. |A2
das Kinderzimmer, -|o quarto das crianças |Das Kinderzimmer ist groß. |A1
das Kind, -er|a criança |Die Kinder spielen im Garten. |A1
das Kino, -s|o cinema|Gehen wir ins Kino? |A1
der Kiosk, -e|o quiosque|Ich kaufe eine Zeitung am Kiosk. |A2
die Kirche, -n|a igreja|Die Kirche ist sehr alt. |A2
der Kissen, -|o travesseiro|Das Kissen ist weich. |B1
die Klasse, -n|a classe, a turma|Ich bin in der Klasse 8a. |A2
das Kleid, -er|o vestido|Sie trägt ein schönes Kleid. |A2
das Kleingeld (kein Pl.)|o troco, moedas|Haben Sie Kleingeld? |A2
die Kleidung (kein Plural)|a roupa, o vestuário|Ich kaufe neue Kleidung. |B1
das Klima (die Klimate, fast nie Plural)|o clima|Das Klima ist hier sehr angenehm. |B1
der Klimaforscher, -|o pesquisador do clima|Klimaforscher untersuchen den Klimawandel. |B1
der Klimagipfel, -|a cúpula do clima|Der Klimagipfel findet nächste Woche statt. |B2
der Klimaschutz (kein Plural)|a proteção climática|Klimaschutz ist sehr wichtig. |B1
die Klimaveränderung, -en|a mudança climática|Die Klimaveränderung ist ein globales Problem. |B1
die Klinik, -en|a clínica|Er liegt in der Klinik. |B1
das Klo, -s|o banheiro, o vaso sanitário|Wo ist das Klo? |A2
der Klub, -s|o clube|Ich bin Mitglied in einem Sportklub. |A1
der Knoblauch (kein Pl.)|o alho|Ich mag Knoblauch nicht. |B1
der Knopf, -e|o botão|Mein Hemd hat einen Knopf verloren. |A2
der Koch, -e / die Köchin, -nen|o cozinheiro / a cozinheira|Der Koch bereitet das Essen zu. |A2
der Kocher, -|o fogareiro, o aquecedor|Wir benutzen einen Kocher beim Camping. |C1
das Kohlekraftwerk, -e|a usina termelétrica a carvão|Das Kohlekraftwerk erzeugt Strom.|B1
das Kohlendioxid, -e (CO2)|o dióxido de carbono (CO2)|Der Kohlendioxidausstoß ist zu hoch.|B1
der Koffer, -|a mala|Ich packe meinen Koffer.|A2
das Kolleg, die Kollegien|a faculdade, o colégio|Er besucht ein Kolleg.|A2
der Kollege, -n / die Kollegin, -nen|o colega / a colega|Meine Kollegin ist sehr nett.|A1
die Kommission, -en|a comissão|Die Kommission berät über neue Gesetze.|B1
der Kommunismus (kein Plural)|o comunismo|Der Kommunismus ist eine politische Ideologie.|B1
die Komik (kein Plural)|a comicidade|Die Komik der Situation war offensichtlich.|B2
der Komfort (kein Pl.)|o conforto|Das Hotel bietet viel Komfort.|B1
der Kommentar, -e|o comentário|Ich habe den Kommentar gelesen.|B1
die Kommunikation, -en|a comunicação|Kommunikation ist wichtig.|B1
der Kompromiss, -e|o compromisso|Wir haben einen Kompromiss gefunden.|B1
das Kondom, -e|o preservativo|Kondome schützen vor Krankheiten.|B1
die Konferenz, -en|a conferência|Die Konferenz findet in Berlin statt.|B1
die Konfession, -en|a confissão religiosa|Welche Konfession haben Sie?|B2
der Konflikt, -e|o conflito|Es gibt einen Konflikt zwischen den Parteien.|A2
die Konfitüre, -n|a geleia|Ich esse Brot mit Konfitüre.|B1
der König, -e|o rei|Der König lebt in einem Schloss.|A2
die Konsequenz, -en|a consequência|Das sind die Konsequenzen deines Handelns.|B1
das Konsulat, -e|o consulado|Ich muss zum Konsulat gehen.|B1
der Konsum (kein Pl.)|o consumo|Der Konsum von Alkohol ist in Maßen erlaubt.|B2
das Konzert, -e|o concerto|Ich gehe heute Abend ins Konzert.|A2
die Konzentration (kein Pl.)|a concentração|Ich brauche viel Konzentration für diese Arbeit.|B1
die Konkurrenz (kein Pl.)|a concorrência|Die Konkurrenz ist groß.|A2
der Kontinent, -e|o continente|Afrika ist ein Kontinent.|B1
der Kontext, -e|o contexto|Bitte betrachten Sie den Satz im Kontext.|B2
das Konto, die Konten|a conta bancária|Ich habe ein neues Konto eröffnet.|A2
die Kontrolle, -n|o controle|Die Passkontrolle dauert lange.|B1
der Kopierer, -|a copiadora|Der Kopierer ist kaputt.|A2
die Kopie, -n|a cópia|Kannst du mir eine Kopie machen?|A2
der Kopf, -e|a cabeça|Mir tut der Kopf weh.|A2
der Körper, -|o corpo|Mein ganzer Körper tut weh.|B1
der Körperbau (kein Pl.)|a constituição física|Er hat einen kräftigen Körperbau.|B2
der Kostenfaktor, -en|o fator de custo|Das Personal ist ein großer Kostenfaktor.|B2
das Kraftwerk, -e|a usina (de energia);|Das Kraftwerk produziert viel Strom.|B1
die Krankenkasse, -n|o plano de saúde, a caixa de seguro-doença|Ich bin bei der Krankenkasse versichert.|B1
das Krankenhaus, -er|o hospital|Er liegt im Krankenhaus.|A1
der Krankenschein, -e|o atestado médico|Ich brauche einen Krankenschein.|B1
die Krankenversicherung, -en|o seguro-saúde|Die Krankenversicherung zahlt die Kosten.|B1
der Krankenwagen, -|a ambulância|Der Krankenwagen ist da.|B1
die Krankheit, -en|a doença|Die Krankheit ist selten.|B1
das Kraut, -er|a erva, a planta|Dieses Kraut wächst im Garten.|B2
der Kredit, -e|o crédito|Ich brauche einen Kredit für ein neues Auto.|B1
der Krimi, -s (= der Kriminalfilm, -e oder der Kriminalroman, -e)|o filme policial, o romance policial|Ich lese gern Krimis.|A2
die Krise, -n|a crise|Die Wirtschaft ist in einer Krise.|A2
die Kritik, -en|a crítica|Die Kritik war positiv.|A2
die Kriminalität (kein Plural)|a criminalidade|Die Kriminalität ist gestiegen.|A2
die Küche, -n|a cozinha|Die Küche ist neu.|A1
der Kuchen, -|o bolo|Möchtest du ein Stück Kuchen?|A1
die Kugel, -n|a esfera, a bola, o projétil|Die Kugel rollt über den Boden.|B1
die Kuh, -e|a vaca|Die Kuh gibt Milch.|B1
der Kugelschreiber, -|a caneta esferográfica|Ich brauche einen Kugelschreiber.|A1
die Kultur, -en|a cultura|Die deutsche Kultur ist interessant.|A2
der Kult, -e oder -s|o culto|Die Band hat einen Kultstatus erreicht.|B2
der Kulturkreis, -e|o círculo cultural|In diesem Kulturkreis gibt es viele Traditionen.|B2
der Kunde, -n / die Kundin, -nen|o cliente / a cliente|Der Kunde wartet.|B1
die Kurve, -n|a curva|Fahr vorsichtig um die Kurve!|B1
die Küste, -n|a costa|Wir fahren an die Küste.|B1
die Lampe, -n|a luminária, a lâmpada|Die Lampe ist neu.|A1
das Land, -er|o país, a terra|Deutschland ist ein schönes Land.|A1
die Landschaft, -en|a paisagem|Die Landschaft ist wunderschön.|B1
der Langzeitarbeitslose, -n|o desempregado de longa duração|Die Regierung hilft Langzeitarbeitslosen.|B1
die Ladung, -en|a carga|Die Ladung ist sehr schwer.|B2
die Lage, -n|a localização, a situação|Die Lage des Hauses ist sehr gut.|B1
der Lärm (kein Pl.)|o barulho|Der Lärm stört mich.|B1
der Lauf, -e|o curso, a corrida|Der Lauf des Flusses ist lang.|B2
das Laufwerk, -e|a unidade (de disco);|Mein Laufwerk ist voll.|B2
die Lautstärke, -n|o volume (de som);|Bitte reduziere die Lautstärke.|B1
das Leben, -|a vida|Das Leben ist schön.|B1
die Lebenserwartung, -en|a expectativa de vida|Die Lebenserwartung steigt.|B2
die Lebensgemeinschaft, -en|a união estável, a comunidade de vida|Sie leben in einer Lebensgemeinschaft.|B2
die Lebensart, -en|o estilo de vida|Ihre Lebensart ist sehr modern.|B2
der Lebensstandard, -s|o padrão de vida|Der Lebensstandard in Deutschland ist hoch.|B2
die Lebensweise, -n|o modo de vida|Ihre Lebensweise ist sehr gesund.|B2
das Leder, -|o couro|Die Jacke ist aus Leder.|B1
die Leber, -n|o fígado|Ich mag keine Leber.|A2
ledig|solteiro/a|Er ist noch ledig.|A1
die Lehre, -n|o ensino, a formação|Er macht eine Lehre als Elektriker.|A2
der Lehrer, - / die Lehrerin, -nen|o professor / a professora|Mein Lehrer ist sehr nett.|A1
die Lehrstelle, -n|a vaga de aprendizagem|Ich suche eine Lehrstelle.|B1
der Lebenslauf, -e|o currículo|Bitte senden Sie Ihren Lebenslauf.|A2
die Liebe (kein Plural)|o amor|Ich liebe dich.|A2
das Lied, -er|a canção|Ich singe gern Lieder.|A2
der Lift, -e|o elevador|Fahren wir mit dem Lift?|A2
die Limonade, -n (kurz: Limo, -s)|a limonada|Ich trinke gern Limonade.|A1
die Linie, -n|a linha|Die Buslinie 10 fährt hier vorbei.|B1
die Lippe, -n|o lábio|Sie hat rote Lippen.|A2
der Lieferant, -en|o fornecedor|Unser Lieferant ist sehr zuverlässig.|B2
der Lieferwagen, -|a van de entrega|Der Lieferwagen bringt die Waren.|B2
das Licht (kein Plural)|a luz|Das Licht ist an.|C1
lukrativ|lucrativo/a|Das Geschäft ist sehr lukrativ.|B2
die Lunge, -n|o pulmão|Rauchen schadet der Lunge.|B1
die Lust, -e|o desejo, a vontade|Ich habe Lust auf Pizza.|A2
der Lärm (kein Pl.)|o barulho|Der Lärm stört mich.|B1
der Lohn, -e|o salário|Ich bekomme meinen Lohn am Monatsende.|B1
die Lösung, -en|a solução|Ich habe die Lösung gefunden.|A1
die Lücke, -n|a lacuna, o espaço|Bitte füllen Sie die Lücken aus.|A1
die Luft, -e|o ar|Die Luft ist frisch.|A2
die Luftverschmutzung, -en|a poluição do ar|Die Luftverschmutzung ist ein großes Problem.|B1
die Lüge, -n|a mentira|Lügen haben kurze Beine.|B1
der Luxus (kein Pl.)|o luxo|Das Hotel bietet viel Luxus.|B1
das Mädchen, -|a menina|Das Mädchen spielt im Garten.|A1
der Mädchenname, -n|o sobrenome de solteira|Ihr Mädchenname war Schmidt.|A1
der Magen, -en|o estômago|Mir tut der Magen weh.|A2
die Mahlzeit, -en|a refeição|Die Mahlzeit war sehr lecker.|B1
der Maler, - / die Malerin, -nen|o pintor / a pintora|Der Maler malt ein Bild.|A2
die Mannschaft, -en|a equipe|Unsere Mannschaft hat gewonnen.|A2
der Mann, -er|o homem|Der Mann liest ein Buch.|A1
der Mantel, -|o casaco|Ich brauche einen warmen Mantel.|A2
die Mappe, -n|a pasta|Die Mappe ist leer.|A2
die Margarine, -n|a margarina|Ich esse Brot mit Margarine.|B1
die Mark (kein Pl.)|o Marco (antiga moeda alemã)|Ich habe noch ein paar Mark.|A2
die Marke, -n|a marca|Welche Marke bevorzugst du?|B2
die Marketingabteilung, -en|o departamento de marketing|Ich arbeite in der Marketingabteilung.|B1
der Markt, -e|o mercado|Der Markt ist heute geöffnet.|B1
die Marktforschung (kein Pl.)|a pesquisa de mercado|Marktforschung ist wichtig für Unternehmen.|B2
die Marmelade, -n|a geleia|Ich esse gern Marmelade zum Frühstück.|A1
die Maschine, -n|a máquina|Die Maschine ist kaputt.|A1
die Massenkrankheit, -en|a doença em massa|Massenkrankheiten sind eine Herausforderung.|B2
das Massenmedium, die Massenmedien|o meio de comunicação de massa|Fernsehen ist ein Massenmedium.|B2
die Mathematik (kein Pl.)|a matemática|Mathematik ist mein Lieblingsfach.|A2
der Matrose, -n|o marinheiro|Der Matrose arbeitet auf dem Schiff.|B2
die Maßnahme, -n|a medida|Die Regierung trifft neue Maßnahmen.|B1
die Mayonnaise / Majonäse, -n|a maionese|Ich esse gern Pommes mit Mayonnaise.|B1
der Mechaniker, -|o mecânico|Der Mechaniker repariert mein Auto.|A1
das Medium, die Medien|o meio de comunicação|Das Internet ist ein wichtiges Medium.|B1
die Mediennutzung (kein Plural)|o uso da mídia|Die Mediennutzung hat sich verändert.|B2
die Medizin, -en|a medicina, o medicamento|Ich studiere Medizin.|A2
das Medikament, -e|o medicamento|Ich muss dieses Medikament nehmen.|A2
der Meer, -e|o mar|Wir fahren im Sommer ans Meer.|A2
der Mehl (kein Pl.)|a farinha|Ich brauche Mehl für den Kuchen.|A2
die Mehrheit, -en|a maioria|Die Mehrheit der Wähler stimmte für ihn.|B1
die Mehrwertsteuer (kein Pl.)|o imposto sobre valor agregado (IVA)|Die Mehrwertsteuer ist in Deutschland 19%.|B2
die Meldung, -en|a notícia, o comunicado|Die letzte Meldung war schockierend.|B1
die Menge, -n|a quantidade, a multidão|Eine große Menge Leute war auf dem Konzert.|B2
die Mensa, die Mensen|o refeitório universitário|Ich esse oft in der Mensa.|A2
der Mensch, -en|o ser humano, a pessoa|Alle Menschen sind gleich.|A1
die Menschheit (kein Plural)|a humanidade|Die Menschheit steht vor großen Herausforderungen.|B2
das Menü, -s|o menu|Bitte bringen Sie mir das Menü.|B1
das Messer, -|a faca|Ich brauche ein Messer.|A2
die Metzgerei, -en|o açougue|Ich kaufe Fleisch in der Metzgerei.|A2
die Miete, -n|o aluguel|Die Miete für die Wohnung ist hoch.|A2
der Mieter, - / die Mieterin, -nen|o inquilino / a inquilina|Der Mieter hat die Miete bezahlt.|A2
das Mietshaus, -er|o prédio de apartamentos (para aluguel);|Wir wohnen in einem Mietshaus.|B1
der Mietvertrag, -e|o contrato de aluguel|Ich habe einen neuen Mietvertrag unterschrieben.|B1
die Mietwohnung, -en|o apartamento alugado|Wir suchen eine Mietwohnung in Berlin.|B1
die Mikrowelle, -n|o micro-ondas|Die Mikrowelle ist neu.|B1
das Militär (kein Plural)|o exército, as forças armadas|Das Militär schützt das Land.|B1
die Milch (kein Plural)|o leite|Ich trinke Milch zum Frühstück.|A1
die Million, -en|o milhão|Eine Million Euro ist viel Geld.|A1
der Millionär, -e / die Millionärin, -nen|o milionário / a milionária|Er ist ein Millionär.|B1
mild|brando/a, suave|Das Wetter ist heute mild.|B1
die Minderheit, -en|a minoria|Die Minderheit hat auch Rechte.|B2
das Mineral, -e|o mineral|Mineralwasser ist gesund.|B2
der Ministerium, die Ministerien|o ministério|Das Ministerium hat eine neue Verordnung erlassen.|A2
die Minute, -n|o minuto|Warte bitte eine Minute.|A1
die Mischung, -en|a mistura|Die Mischung ist perfekt.|B1
der Mitbewohner, - / die Mitbewohnerin, -nen|o colega de quarto / a colega de quarto|Mein Mitbewohner ist sehr nett.|B1
der Mittag, -e|o meio-dia|Wir essen um 12 Uhr Mittag.|A1
das Mittagessen, -|o almoço|Das Mittagessen ist fertig.|A1
die Mobilität, -en|a mobilidade|Die Mobilität ist in der Stadt sehr wichtig.|A2
die Mode, -n|a moda|Ich interessiere mich für Mode.|B1
die Möglichkeit, -en|a possibilidade|Es gibt viele Möglichkeiten.|B1
der Monat, -e|o mês|Der Monat hat 30 Tage.|A1
der Mond, -e|a lua|Der Mond scheint hell.|A2
das Monatsgehalt, -er|o salário mensal|Mein Monatsgehalt ist hoch.|A2
der Moped, -s|a mobilete|Ich fahre mit dem Moped zur Arbeit.|B1
der Mord, -e|o assassinato|Der Mord war schrecklich.|B1
die Mücke, -n|o mosquito|Ich habe eine Mücke im Zimmer.|B1
die Müdigkeit, -en|o cansaço|Ich fühle Müdigkeit nach der Arbeit.|B1
der Müll (kein Plural)|o lixo|Bitte wirf den Müll in den Eimer.|B1
die Münze, -n|a moeda|Ich habe eine alte Münze gefunden.|B2
das Museum, die Museen|o museu|Ich gehe gern ins Museum.|A1
die Musik, -en|a música|Ich höre gern Musik.|A1
der Musikant, -en|o músico (artista de rua, popular);|Der Musikant spielt auf der Straße.|B2
der Musiker, - / die Musikerin, -nen|o músico / a música|Der Musiker spielt Gitarre.|A2
die Muttersprache, -n|a língua materna|Meine Muttersprache ist Spanisch.|B2
die Mütze, -n|o gorro, o boné|Ich trage eine Mütze, wenn es kalt ist.|A2
die Mutter, -er|a mãe|Meine Mutter kocht sehr gut.|A1
die Nacht, -e|a noite|Gute Nacht!|A1
der Nachbar, -n / die Nachbarin, -nen|o vizinho / a vizinha|Meine Nachbarn sind sehr nett.|A2
der Nachname, -n|o sobrenome|Mein Nachname ist Müller.|A1
die Nachspeise, -n|a sobremesa|Ich mag Nachspeisen sehr gern.|A2
die Nadel, -n|a agulha|Ich brauche eine Nadel und Faden.|B1
der Name, -n|o nome|Wie ist Ihr Name?|A1
die Nase, -n|o nariz|Ich habe eine rote Nase.|A2
die Natur, -en|a natureza|Ich liebe die Natur.|A2
der Nationalpark, -s|o parque nacional|Wir besuchen einen Nationalpark.|B1
die Nationalität, -en|a nacionalidade|Welche Nationalität haben Sie?|A2
die NATO (kein Plural)|a OTAN|Die NATO ist ein Militärbündnis.|B1
das Naturschutzgebiet, -e|a reserva natural|Das Naturschutzgebiet ist sehr schön.|B1
die Nässe (kein Plural)|a umidade|Die Nässe schadet den Wänden.|B1
der Nebel, -|a neblina, o nevoeiro|Es ist heute sehr nebelig.|B1
der Nebeneingang, -e|a entrada secundária|Der Nebeneingang ist hinten.|B1
die Nebenkosten (nur Plural)|os custos adicionais, as despesas de condomínio|Die Nebenkosten sind hoch.|A2
der Neffe, -n|o sobrinho|Mein Neffe ist noch klein.|B2
der Nerv, -en|o nervo|Das geht mir auf die Nerven.|A2
das Netz, -e|a rede|Das Netz ist voll mit Informationen.|B1
die Neuigkeit, -en|a novidade|Erzähl mir die Neuigkeiten!|B1
die Nichte, -n|a sobrinha|Meine Nichte kommt uns besuchen.|B2
der Nichtraucher, -|o não-fumante|Ich bin Nichtraucher.|B1
der Niederschlag, -e|a precipitação (chuva, neve);|Wir erwarten heute starken Niederschlag.|B2
das Niveau, -s|o nível|Das Niveau des Kurses ist hoch.|A2
die Not, -e|a necessidade, a miséria|In der Not hilft jeder.|B2
die Note, -n|a nota (escolar, musical);|Ich habe eine gute Note bekommen.|A2
die Nudel, -n|o macarrão|Ich esse gern Nudeln.|A1
die Nummer, -n|o número|Wie ist deine Telefonnummer?|A1
die Nuss, -e|a noz|Ich esse gern Nüsse.|B1
das Nylon (kein Plural)|o nylon|Diese Jacke ist aus Nylon.|B2
das Obst (kein Pl.)|a fruta|Obst ist gesund.|A2
der Ofen, -|o forno|Der Ofen ist heiß.|A2
die Öffnungszeit, -en|o horário de funcionamento|Was sind die Öffnungszeiten?|A2
das Ohr, -en|a orelha|Mir tut das Ohr weh.|A2
das Öl, -e|o óleo|Ich brauche Öl zum Kochen.|A2
die Ökologie, -n|a ecologia|Ökologie ist ein wichtiges Thema.|A2
der Onkel, -|o tio|Mein Onkel kommt uns besuchen.|A1
der Onlineshop, -s|a loja online|Ich kaufe gern im Onlineshop ein.|A2
der Onlinespieler, -|o jogador online|Er ist ein guter Onlinespieler.|A2
die Oper, -n|a ópera|Ich gehe gern in die Oper.|A2
die Operation, -en|a operação|Die Operation war erfolgreich.|A2
das Orchester, -|a orquestra|Das Orchester spielt wunderbar.|A2
der Ordner, -|a pasta (para documentos);|Ich brauche einen Ordner für diese Papiere.|B1
der Organismus, die Organismen|o organismo|Jeder Organismus hat seinen eigenen Stoffwechsel.|B1
die Organisation, -en|a organização|Die Organisation hilft armen Menschen.|A2
der Ort, -e|o lugar, o local|Das ist ein schöner Ort.|B1
der Osten (kein Plural)|o leste|Die Sonne geht im Osten auf.|A1
das Paar, -e|o casal, o par|Sie sind ein glückliches Paar.|A2
das Päckchen, -|o pacote pequeno|Ich habe ein Päckchen bekommen.|A2
das Paket, -e|o pacote|Ich sende ein Paket nach Hause.|A2
die Panne, -n|a pane, a avaria|Wir hatten eine Panne auf der Autobahn.|B2
das Papier (kein Pl.)|o papel|Ich brauche ein Blatt Papier.|A1
der Park, -s|o parque|Wir gehen in den Park.|A1
der Parkplatz, -e|o estacionamento|Der Parkplatz ist voll.|A2
der Parkverbot, -e|a proibição de estacionar|Hier ist Parkverbot.|A2
das Parlament, -e|o parlamento|Das Parlament tagt heute.|A2
die Partei, -en|o partido (político);|Welche Partei wählen Sie?|A2
parteiisch|parcial, partidário|Er ist sehr parteiisch in seiner Meinung.|B2
parteilich|partidário|Man sollte nicht parteilich sein.|B2
die Partnerschaft, -en|a parceria|Unsere Partnerschaft ist sehr gut.|B1
partnerschaftlich|em parceria|Wir arbeiten partnerschaftlich zusammen.|B2
die Party, -s|a festa|Wir machen eine Party.|A1
das Patchwork (kein Plural)|o patchwork (referindo-se a família misturada);|Patchwork-Familien sind heute sehr verbreitet.|B2
der Patient, -en|o paciente|Der Patient wartet auf den Arzt.|A2
die Pause, -n|a pausa, o intervalo|Machen wir eine Pause?|A1
der PC, -s (der Personal Computer, -)|o PC, o computador pessoal|Ich arbeite an meinem PC.|B1
der Pension, -en|a pensão (aposentadoria);|Er geht bald in Pension.|B1
der Pensionär, -e / die Pensionärin, -nen|o aposentado / a aposentada|Die Pensionäre reisen viel.|B1
die Person, -en|a pessoa|Ich kenne diese Person nicht.|B1
die Personalien (Plural)|os dados pessoais|Bitte geben Sie Ihre Personalien an.|B1
das Personal (kein Plural)|o pessoal, os funcionários|Das Personal ist sehr freundlich.|B1
die Pestizid, -e|o pesticida|Pestizide sind schädlich für die Umwelt.|B2
der Pfeffer, -|a pimenta|Ich mag keinen Pfeffer.|B1
der Pfennig, -e|o Pfennig (antiga moeda alemã);|Ich habe noch ein paar Pfennige.|B1
das Pferd, -e|o cavalo|Das Pferd läuft schnell.|A2
die Phase, -n|a fase|Das ist eine neue Phase im Projekt.|B1
der Philosoph, -en|o filósofo|Philosophen denken über das Leben nach.|B1
die Philosophie, -n|a filosofia|Philosophie ist ein altes Fach.|B1
die Pille, -n|a pílula|Ich nehme eine Pille gegen Kopfschmerzen.|B1
der Pilot, -en / die Pilotin, -nen|o piloto / a piloto|Der Pilot fliegt das Flugzeug.|A2
der Pilz, -e|o cogumelo|Ich esse gern Pilze.|A2
die Pizza, die Pizzen|a pizza|Ich esse gern Pizza.|A1
das Plakat, -e|o cartaz|Das Plakat hängt an der Wand.|B2
der Plan, -e|o plano, o mapa|Hast du einen Plan für das Wochenende?|A1
der Platz, -e|o lugar, a praça|Der Platz ist schön.|A1
die Pflege (kein Pl.)|o cuidado, a enfermagem|Die Pflege alter Menschen ist wichtig.|B2
die Pflegeversicherung, -en|o seguro-cuidado|Die Pflegeversicherung zahlt die Kosten.|B2
die Politik (kaum Plural)|a política|Politik ist sehr komplex.|A2
der Politiker, - / die Politikerin, -nen|o político / a política|Der Politiker hält eine Rede.|A2
die Polizei (kein Plural)|a polícia|Die Polizei ist da.|A1
der Polizist, -en / die Polizistin, -nen|o policial / a policial|Der Polizist hilft den Leuten.|A2
die Pommes frites (nur Plural)|as batatas fritas|Ich esse gern Pommes frites.|A1
die Portion, -en|a porção|Ich möchte eine kleine Portion.|B1
das Porto, -s|o porte (postal);|Wie viel Porto kostet der Brief?|B2
das Portemonnaie, -s|a carteira|Ich habe mein Portemonnaie verloren.|B1
die Position, -en|a posição, o cargo|Er hat eine gute Position in der Firma.|B1
positiv|positivo/a|Das Ergebnis ist positiv.|A1
das Postamt, -er|o correio|Ich gehe zum Postamt.|A2
die Post (kein Plural)|o correio, a correspondência|Ich habe Post bekommen.|A1
das Postfach, -er|a caixa postal|Meine Post kommt ins Postfach.|B1
die Postkarte, -n|o cartão postal|Ich schicke dir eine Postkarte.|A1
