traducao|verbo|exemplo|nivel
o sucesso (música, filme);|der Hit, -s|Das Lied ist ein großer Hit.|A1
o calor|die Hitze (kein Pl.)|Ich mag die Hitze nicht.|B1
o arranha-céu|das Hochhaus, -er|Wir wohnen in einem Hochhaus.|B1
a faculdade, a escola superior|die Hochschule, -n|Ich studiere an einer Hochschule.|B1
o casamento|die Hochzeit, -en|Die Hochzeit war wunderschön.|A2
o pátio, a fazenda|der Hof, -e|Der Hof ist sehr groß.|B1
a altura, o valor|die Höhe, -n|Die Höhe des Berges ist beeindruckend.|B1
a alta velocidade|die Hochgeschwindigkeit (kein Plural)|Der Zug fährt mit Hochgeschwindigkeit.|B2
o hobby|das Hobby, -s|Mein Hobby ist Lesen.|A1
o banco|der Hocker, -|Der Hocker ist bequem.|B2
o casamento|die Hochzeit, -en|Die Hochzeit war wunderschön. |A2
o humor|der Humor, -e (kaum Plural)|Er hat einen guten Humor. |A2
o cachorro|der Hund, -e|Ich habe einen Hund. |A2
a fome|der Hunger (kein Pl.)|Ich habe Hunger. |A1
a revista ilustrada|die Illustrierte, -n|Ich lese gern Illustrierte. |A2
o lanche, o quiosque de lanches|der Imbiss, -e|Wir essen einen Imbiss. |A2
a indústria|die Industrie, -n|Die Industrie wächst. |A2
o país industrializado|das Industrieland, -er|Deutschland ist ein Industrieland. |B1
a sociedade da informação|die Informationsgesellschaft (fast nie Pl.)|Wir leben in einer Informationsgesellschaft. |B1
a informação|die Information, -nen|Ich brauche mehr Informationen. |A1
a tecnologia da informação|die Informationstechnik, -en|Ich studiere Informationstechnik. |B1
a tecnologia da informação|die Informationstechnologie, -en|Die Informationstechnologie entwickelt sich schnell. |B1
o inseto|das Insekt, -en|Insekten sind wichtig für die Natur. |B2
o instituto|das Institut, -e|Ich arbeite in einem Institut. |A2
o instrumento|das Instrument, -e|Er spielt ein Musikinstrument. |B1
a inteligência|die Intelligenz, -en|Sie hat eine hohe Intelligenz. |B1
o interesse|das Interesse, -n|Ich habe großes Interesse daran. |A2
a internet|das Internet (kein Plural)|Ich surfe gern im Internet. |A1
a entrevista|das Interview, -s|Ich habe ein Interview mit dem Künstler. |A1
a instituição|die Institution, -en|Universitäten sind wichtige Institutionen. |B1
o interior (do país)|das Inland (kein Plural)|Wir verbringen unseren Urlaub im Inland.|B2
o instalador|der Installateur, -e|Der Installateur repariert die Heizung.|B2
o iogurte|der Joghurt, -s|Ich esse gern Joghurt zum Frühstück.|A1
o trabalho, o emprego|der Job, -s|Ich habe einen neuen Job.|A1
o jornalista / a jornalista|der Journalist, -en / die Journalistin, -nen|Der Journalist schreibt einen Artikel.|A1
a caça|die Jagd, -en|Die Jagd ist in diesem Gebiet verboten.|B2
o ano|das Jahr, -e|Das Jahr hat 365 Tage.|A1
a estação do ano|die Jahreszeit, -en|Der Herbst ist meine Lieblingsjahreszeit.|B1
o século|das Jahrhundert, -e|Wir leben im 21. Jahrhundert.|A2
o milênio|das Jahrtausend, -e|Ein Jahrtausend hat tausend Jahre.|B1
a década|das Jahrzehnt, -e|Wir leben im letzten Jahrzehnt des Jahrhunderts.|B1
a juventude|die Jugend (kein Plural)|Die Jugend ist die Zukunft.|B1
o albergue da juventude|die Jugendherberge, -n|Wir übernachten in einer Jugendherberge.|A2
a lareira|der Kamin, -e|Wir sitzen gern am Kamin.|B1
a luta|der Kampf, -e|Das war ein harter Kampf.|A2
a campanha|die Kampagne, -n|Die neue Kampagne ist sehr erfolgreich.|B2
o candidato|der Kandidat, -en|Der Kandidat hat gute Chancen.|B1
o bule, a jarra|die Kanne, -n|Die Kanne ist voll Kaffee.|B1
o capitão|der Kapitän, -e|Der Kapitän steuert das Schiff.|B1
a carreira|die Karriere, -n|Sie macht Karriere in der Firma.|B1
o mapa, o cartão |die Karte, -n|Wo ist die Karte von Berlin? |A2
o caixa |die Kasse, -n|Bitte gehen Sie zur Kasse. |A1
a fita cassete |die Kassette, -n|Ich höre gern alte Kassetten. |A2
a casta |die Kaste, -n|In Indien gab es früher Kasten.|B2
o catalisador |der Katalysator, -en|Der Katalysator reduziert die Schadstoffe.|B2
a catástrofe |die Katastrophe, -n|Die Flut war eine große Katastrophe.|B1
o gato |die Katze, -n|Ich habe eine Katze. |A2
a loja de departamentos |das Kaufhaus, -er|Wir gehen ins Kaufhaus. |A2
o garçom / a garçonete |der Kellner, - / die Kellnerin, -nen|Der Kellner bringt uns das Essen. |A1
o porão, a cave |der Keller, -|Der Keller ist dunkel. |A2
o núcleo, o caroço |der Kern, -e|Der Kern des Problems ist die Kommunikation.|B2
a energia nuclear |die Kernenergie, -n|Kernenergie ist umstritten.|B1
a geração de energia nuclear |die Kernenergiegewinnung, -en|Die Kernenergiegewinnung ist komplex.|B2
a família nuclear |die Kernfamilie, -n|Die Kernfamilie besteht aus Eltern und Kindern.|B1
o ketchup |der Ketchup, -s|Möchtest du Ketchup zu deinen Pommes? |A2
a corrente |die Kette, -n|Die Kette ist aus Silber.|B2
o jardim de infância |der Kindergarten, -|Meine Tochter geht in den Kindergarten. |A2
a creche |die Kinderkrippe, -n|Das Baby geht in die Kinderkrippe. |A2
o quarto das crianças |das Kinderzimmer, -|Das Kinderzimmer ist groß. |A1
a criança |das Kind, -er|Die Kinder spielen im Garten. |A1
o cinema|das Kino, -s|Gehen wir ins Kino? |A1
o quiosque|der Kiosk, -e|Ich kaufe eine Zeitung am Kiosk. |A2
a igreja|die Kirche, -n|Die Kirche ist sehr alt. |A2
o travesseiro|der Kissen, -|Das Kissen ist weich. |B1
a classe, a turma|die Klasse, -n|Ich bin in der Klasse 8a. |A2
o vestido|das Kleid, -er|Sie trägt ein schönes Kleid. |A2
o troco, moedas|das Kleingeld (kein Pl.)|Haben Sie Kleingeld? |A2
a roupa, o vestuário|die Kleidung (kein Plural)|Ich kaufe neue Kleidung. |B1
o clima|das Klima (die Klimate, fast nie Plural)|Das Klima ist hier sehr angenehm. |B1
o pesquisador do clima|der Klimaforscher, -|Klimaforscher untersuchen den Klimawandel. |B1
a cúpula do clima|der Klimagipfel, -|Der Klimagipfel findet nächste Woche statt. |B2
a proteção climática|der Klimaschutz (kein Plural)|Klimaschutz ist sehr wichtig. |B1
a mudança climática|die Klimaveränderung, -en|Die Klimaveränderung ist ein globales Problem. |B1
a clínica|die Klinik, -en|Er liegt in der Klinik. |B1
o banheiro, o vaso sanitário|das Klo, -s|Wo ist das Klo? |A2
o clube|der Klub, -s|Ich bin Mitglied in einem Sportklub. |A1
o alho|der Knoblauch (kein Pl.)|Ich mag Knoblauch nicht. |B1
o botão|der Knopf, -e|Mein Hemd hat einen Knopf verloren. |A2
o cozinheiro / a cozinheira|der Koch, -e / die Köchin, -nen|Der Koch bereitet das Essen zu. |A2
o fogareiro, o aquecedor|der Kocher, -|Wir benutzen einen Kocher beim Camping. |C1
a usina termelétrica a carvão|das Kohlekraftwerk, -e|Das Kohlekraftwerk erzeugt Strom.|B1
o dióxido de carbono (CO2)|das Kohlendioxid, -e (CO2)|Der Kohlendioxidausstoß ist zu hoch.|B1
a mala|der Koffer, -|Ich packe meinen Koffer.|A2
a faculdade, o colégio|das Kolleg, die Kollegien|Er besucht ein Kolleg.|A2
o colega / a colega|der Kollege, -n / die Kollegin, -nen|Meine Kollegin ist sehr nett.|A1
a comissão|die Kommission, -en|Die Kommission berät über neue Gesetze.|B1
o comunismo|der Kommunismus (kein Plural)|Der Kommunismus ist eine politische Ideologie.|B1
a comicidade|die Komik (kein Plural)|Die Komik der Situation war offensichtlich.|B2
o conforto|der Komfort (kein Pl.)|Das Hotel bietet viel Komfort.|B1
o comentário|der Kommentar, -e|Ich habe den Kommentar gelesen.|B1
a comunicação|die Kommunikation, -en|Kommunikation ist wichtig.|B1
o compromisso|der Kompromiss, -e|Wir haben einen Kompromiss gefunden.|B1
o preservativo|das Kondom, -e|Kondome schützen vor Krankheiten.|B1
a conferência|die Konferenz, -en|Die Konferenz findet in Berlin statt.|B1
a confissão religiosa|die Konfession, -en|Welche Konfession haben Sie?|B2
o conflito|der Konflikt, -e|Es gibt einen Konflikt zwischen den Parteien.|A2
a geleia|die Konfitüre, -n|Ich esse Brot mit Konfitüre.|B1
o rei|der König, -e|Der König lebt in einem Schloss.|A2
a consequência|die Konsequenz, -en|Das sind die Konsequenzen deines Handelns.|B1
o consulado|das Konsulat, -e|Ich muss zum Konsulat gehen.|B1
o consumo|der Konsum (kein Pl.)|Der Konsum von Alkohol ist in Maßen erlaubt.|B2
o concerto|das Konzert, -e|Ich gehe heute Abend ins Konzert.|A2
a concentração|die Konzentration (kein Pl.)|Ich brauche viel Konzentration für diese Arbeit.|B1
a concorrência|die Konkurrenz (kein Pl.)|Die Konkurrenz ist groß.|A2
o continente|der Kontinent, -e|Afrika ist ein Kontinent.|B1
o contexto|der Kontext, -e|Bitte betrachten Sie den Satz im Kontext.|B2
a conta bancária|das Konto, die Konten|Ich habe ein neues Konto eröffnet.|A2
o controle|die Kontrolle, -n|Die Passkontrolle dauert lange.|B1
a copiadora|der Kopierer, -|Der Kopierer ist kaputt.|A2
a cópia|die Kopie, -n|Kannst du mir eine Kopie machen?|A2
a cabeça|der Kopf, -e|Mir tut der Kopf weh.|A2
o corpo|der Körper, -|Mein ganzer Körper tut weh.|B1
a constituição física|der Körperbau (kein Pl.)|Er hat einen kräftigen Körperbau.|B2
o fator de custo|der Kostenfaktor, -en|Das Personal ist ein großer Kostenfaktor.|B2
a usina (de energia);|das Kraftwerk, -e|Das Kraftwerk produziert viel Strom.|B1
o plano de saúde, a caixa de seguro-doença|die Krankenkasse, -n|Ich bin bei der Krankenkasse versichert.|B1
o hospital|das Krankenhaus, -er|Er liegt im Krankenhaus.|A1
o atestado médico|der Krankenschein, -e|Ich brauche einen Krankenschein.|B1
o seguro-saúde|die Krankenversicherung, -en|Die Krankenversicherung zahlt die Kosten.|B1
a ambulância|der Krankenwagen, -|Der Krankenwagen ist da.|B1
a doença|die Krankheit, -en|Die Krankheit ist selten.|B1
a erva, a planta|das Kraut, -er|Dieses Kraut wächst im Garten.|B2
o crédito|der Kredit, -e|Ich brauche einen Kredit für ein neues Auto.|B1
o filme policial, o romance policial|der Krimi, -s (= der Kriminalfilm, -e oder der Kriminalroman, -e)|Ich lese gern Krimis.|A2
a crise|die Krise, -n|Die Wirtschaft ist in einer Krise.|A2
a crítica|die Kritik, -en|Die Kritik war positiv.|A2
a criminalidade|die Kriminalität (kein Plural)|Die Kriminalität ist gestiegen.|A2
a cozinha|die Küche, -n|Die Küche ist neu.|A1
o bolo|der Kuchen, -|Möchtest du ein Stück Kuchen?|A1
a esfera, a bola, o projétil|die Kugel, -n|Die Kugel rollt über den Boden.|B1
a vaca|die Kuh, -e|Die Kuh gibt Milch.|B1
a caneta esferográfica|der Kugelschreiber, -|Ich brauche einen Kugelschreiber.|A1
a cultura|die Kultur, -en|Die deutsche Kultur ist interessant.|A2
o culto|der Kult, -e oder -s|Die Band hat einen Kultstatus erreicht.|B2
o círculo cultural|der Kulturkreis, -e|In diesem Kulturkreis gibt es viele Traditionen.|B2
o cliente / a cliente|der Kunde, -n / die Kundin, -nen|Der Kunde wartet.|B1
a curva|die Kurve, -n|Fahr vorsichtig um die Kurve!|B1
a costa|die Küste, -n|Wir fahren an die Küste.|B1
a luminária, a lâmpada|die Lampe, -n|Die Lampe ist neu.|A1
o país, a terra|das Land, -er|Deutschland ist ein schönes Land.|A1
a paisagem|die Landschaft, -en|Die Landschaft ist wunderschön.|B1
o desempregado de longa duração|der Langzeitarbeitslose, -n|Die Regierung hilft Langzeitarbeitslosen.|B1
a carga|die Ladung, -en|Die Ladung ist sehr schwer.|B2
a localização, a situação|die Lage, -n|Die Lage des Hauses ist sehr gut.|B1
o barulho|der Lärm (kein Pl.)|Der Lärm stört mich.|B1
o curso, a corrida|der Lauf, -e|Der Lauf des Flusses ist lang.|B2
a unidade (de disco);|das Laufwerk, -e|Mein Laufwerk ist voll.|B2
o volume (de som);|die Lautstärke, -n|Bitte reduziere die Lautstärke.|B1
a vida|das Leben, -|Das Leben ist schön.|B1
a expectativa de vida|die Lebenserwartung, -en|Die Lebenserwartung steigt.|B2
a união estável, a comunidade de vida|die Lebensgemeinschaft, -en|Sie leben in einer Lebensgemeinschaft.|B2
o estilo de vida|die Lebensart, -en|Ihre Lebensart ist sehr modern.|B2
o padrão de vida|der Lebensstandard, -s|Der Lebensstandard in Deutschland ist hoch.|B2
o modo de vida|die Lebensweise, -n|Ihre Lebensweise ist sehr gesund.|B2
o couro|das Leder, -|Die Jacke ist aus Leder.|B1
o fígado|die Leber, -n|Ich mag keine Leber.|A2
solteiro/a|ledig|Er ist noch ledig.|A1
o ensino, a formação|die Lehre, -n|Er macht eine Lehre als Elektriker.|A2
o professor / a professora|der Lehrer, - / die Lehrerin, -nen|Mein Lehrer ist sehr nett.|A1
a vaga de aprendizagem|die Lehrstelle, -n|Ich suche eine Lehrstelle.|B1
o currículo|der Lebenslauf, -e|Bitte senden Sie Ihren Lebenslauf.|A2
o amor|die Liebe (kein Plural)|Ich liebe dich.|A2
a canção|das Lied, -er|Ich singe gern Lieder.|A2
o elevador|der Lift, -e|Fahren wir mit dem Lift?|A2
a limonada|die Limonade, -n (kurz: Limo, -s)|Ich trinke gern Limonade.|A1
a linha|die Linie, -n|Die Buslinie 10 fährt hier vorbei.|B1
o lábio|die Lippe, -n|Sie hat rote Lippen.|A2
o fornecedor|der Lieferant, -en|Unser Lieferant ist sehr zuverlässig.|B2
a van de entrega|der Lieferwagen, -|Der Lieferwagen bringt die Waren.|B2
a luz|das Licht (kein Plural)|Das Licht ist an.|C1
lucrativo/a|lukrativ|Das Geschäft ist sehr lukrativ.|B2
o pulmão|die Lunge, -n|Rauchen schadet der Lunge.|B1
o desejo, a vontade|die Lust, -e|Ich habe Lust auf Pizza.|A2
o barulho|der Lärm (kein Pl.)|Der Lärm stört mich.|B1
o salário|der Lohn, -e|Ich bekomme meinen Lohn am Monatsende.|B1
a solução|die Lösung, -en|Ich habe die Lösung gefunden.|A1
a lacuna, o espaço|die Lücke, -n|Bitte füllen Sie die Lücken aus.|A1
o ar|die Luft, -e|Die Luft ist frisch.|A2
a poluição do ar|die Luftverschmutzung, -en|Die Luftverschmutzung ist ein großes Problem.|B1
a mentira|die Lüge, -n|Lügen haben kurze Beine.|B1
o luxo|der Luxus (kein Pl.)|Das Hotel bietet viel Luxus.|B1
a menina|das Mädchen, -|Das Mädchen spielt im Garten.|A1
o sobrenome de solteira|der Mädchenname, -n|Ihr Mädchenname war Schmidt.|A1
o estômago|der Magen, -en|Mir tut der Magen weh.|A2
a refeição|die Mahlzeit, -en|Die Mahlzeit war sehr lecker.|B1
o pintor / a pintora|der Maler, - / die Malerin, -nen|Der Maler malt ein Bild.|A2
a equipe|die Mannschaft, -en|Unsere Mannschaft hat gewonnen.|A2
o homem|der Mann, -er|Der Mann liest ein Buch.|A1
o casaco|der Mantel, -|Ich brauche einen warmen Mantel.|A2
a pasta|die Mappe, -n|Die Mappe ist leer.|A2
a margarina|die Margarine, -n|Ich esse Brot mit Margarine.|B1
o Marco (antiga moeda alemã)|die Mark (kein Pl.)|Ich habe noch ein paar Mark.|A2
a marca|die Marke, -n|Welche Marke bevorzugst du?|B2
o departamento de marketing|die Marketingabteilung, -en|Ich arbeite in der Marketingabteilung.|B1
o mercado|der Markt, -e|Der Markt ist heute geöffnet.|B1
a pesquisa de mercado|die Marktforschung (kein Pl.)|Marktforschung ist wichtig für Unternehmen.|B2
a geleia|die Marmelade, -n|Ich esse gern Marmelade zum Frühstück.|A1
a máquina|die Maschine, -n|Die Maschine ist kaputt.|A1
a doença em massa|die Massenkrankheit, -en|Massenkrankheiten sind eine Herausforderung.|B2
o meio de comunicação de massa|das Massenmedium, die Massenmedien|Fernsehen ist ein Massenmedium.|B2
a matemática|die Mathematik (kein Pl.)|Mathematik ist mein Lieblingsfach.|A2
o marinheiro|der Matrose, -n|Der Matrose arbeitet auf dem Schiff.|B2
a medida|die Maßnahme, -n|Die Regierung trifft neue Maßnahmen.|B1
a maionese|die Mayonnaise / Majonäse, -n|Ich esse gern Pommes mit Mayonnaise.|B1
o mecânico|der Mechaniker, -|Der Mechaniker repariert mein Auto.|A1
o meio de comunicação|das Medium, die Medien|Das Internet ist ein wichtiges Medium.|B1
o uso da mídia|die Mediennutzung (kein Plural)|Die Mediennutzung hat sich verändert.|B2
a medicina, o medicamento|die Medizin, -en|Ich studiere Medizin.|A2
o medicamento|das Medikament, -e|Ich muss dieses Medikament nehmen.|A2
o mar|der Meer, -e|Wir fahren im Sommer ans Meer.|A2
a farinha|der Mehl (kein Pl.)|Ich brauche Mehl für den Kuchen.|A2
a maioria|die Mehrheit, -en|Die Mehrheit der Wähler stimmte für ihn.|B1
o imposto sobre valor agregado (IVA)|die Mehrwertsteuer (kein Pl.)|Die Mehrwertsteuer ist in Deutschland 19%.|B2
a notícia, o comunicado|die Meldung, -en|Die letzte Meldung war schockierend.|B1
a quantidade, a multidão|die Menge, -n|Eine große Menge Leute war auf dem Konzert.|B2
o refeitório universitário|die Mensa, die Mensen|Ich esse oft in der Mensa.|A2
o ser humano, a pessoa|der Mensch, -en|Alle Menschen sind gleich.|A1
a humanidade|die Menschheit (kein Plural)|Die Menschheit steht vor großen Herausforderungen.|B2
o menu|das Menü, -s|Bitte bringen Sie mir das Menü.|B1
a faca|das Messer, -|Ich brauche ein Messer.|A2
o açougue|die Metzgerei, -en|Ich kaufe Fleisch in der Metzgerei.|A2
o aluguel|die Miete, -n|Die Miete für die Wohnung ist hoch.|A2
o inquilino / a inquilina|der Mieter, - / die Mieterin, -nen|Der Mieter hat die Miete bezahlt.|A2
o prédio de apartamentos (para aluguel);|das Mietshaus, -er|Wir wohnen in einem Mietshaus.|B1
o contrato de aluguel|der Mietvertrag, -e|Ich habe einen neuen Mietvertrag unterschrieben.|B1
o apartamento alugado|die Mietwohnung, -en|Wir suchen eine Mietwohnung in Berlin.|B1
o micro-ondas|die Mikrowelle, -n|Die Mikrowelle ist neu.|B1
o exército, as forças armadas|das Militär (kein Plural)|Das Militär schützt das Land.|B1
o leite|die Milch (kein Plural)|Ich trinke Milch zum Frühstück.|A1
o milhão|die Million, -en|Eine Million Euro ist viel Geld.|A1
o milionário / a milionária|der Millionär, -e / die Millionärin, -nen|Er ist ein Millionär.|B1
brando/a, suave|mild|Das Wetter ist heute mild.|B1
a minoria|die Minderheit, -en|Die Minderheit hat auch Rechte.|B2
o mineral|das Mineral, -e|Mineralwasser ist gesund.|B2
o ministério|der Ministerium, die Ministerien|Das Ministerium hat eine neue Verordnung erlassen.|A2
o minuto|die Minute, -n|Warte bitte eine Minute.|A1
a mistura|die Mischung, -en|Die Mischung ist perfekt.|B1
o colega de quarto / a colega de quarto|der Mitbewohner, - / die Mitbewohnerin, -nen|Mein Mitbewohner ist sehr nett.|B1
o meio-dia|der Mittag, -e|Wir essen um 12 Uhr Mittag.|A1
o almoço|das Mittagessen, -|Das Mittagessen ist fertig.|A1
a mobilidade|die Mobilität, -en|Die Mobilität ist in der Stadt sehr wichtig.|A2
a moda|die Mode, -n|Ich interessiere mich für Mode.|B1
a possibilidade|die Möglichkeit, -en|Es gibt viele Möglichkeiten.|B1
o mês|der Monat, -e|Der Monat hat 30 Tage.|A1
a lua|der Mond, -e|Der Mond scheint hell.|A2
o salário mensal|das Monatsgehalt, -er|Mein Monatsgehalt ist hoch.|A2
a mobilete|der Moped, -s|Ich fahre mit dem Moped zur Arbeit.|B1
o assassinato|der Mord, -e|Der Mord war schrecklich.|B1
o mosquito|die Mücke, -n|Ich habe eine Mücke im Zimmer.|B1
o cansaço|die Müdigkeit, -en|Ich fühle Müdigkeit nach der Arbeit.|B1
o lixo|der Müll (kein Plural)|Bitte wirf den Müll in den Eimer.|B1
a moeda|die Münze, -n|Ich habe eine alte Münze gefunden.|B2
o museu|das Museum, die Museen|Ich gehe gern ins Museum.|A1
a música|die Musik, -en|Ich höre gern Musik.|A1
o músico (artista de rua, popular);|der Musikant, -en|Der Musikant spielt auf der Straße.|B2
o músico / a música|der Musiker, - / die Musikerin, -nen|Der Musiker spielt Gitarre.|A2
a língua materna|die Muttersprache, -n|Meine Muttersprache ist Spanisch.|B2
o gorro, o boné|die Mütze, -n|Ich trage eine Mütze, wenn es kalt ist.|A2
a mãe|die Mutter, -er|Meine Mutter kocht sehr gut.|A1
a noite|die Nacht, -e|Gute Nacht!|A1
o vizinho / a vizinha|der Nachbar, -n / die Nachbarin, -nen|Meine Nachbarn sind sehr nett.|A2
o sobrenome|der Nachname, -n|Mein Nachname ist Müller.|A1
a sobremesa|die Nachspeise, -n|Ich mag Nachspeisen sehr gern.|A2
a agulha|die Nadel, -n|Ich brauche eine Nadel und Faden.|B1
o nome|der Name, -n|Wie ist Ihr Name?|A1
o nariz|die Nase, -n|Ich habe eine rote Nase.|A2
a natureza|die Natur, -en|Ich liebe die Natur.|A2
o parque nacional|der Nationalpark, -s|Wir besuchen einen Nationalpark.|B1
a nacionalidade|die Nationalität, -en|Welche Nationalität haben Sie?|A2
a OTAN|die NATO (kein Plural)|Die NATO ist ein Militärbündnis.|B1
a reserva natural|das Naturschutzgebiet, -e|Das Naturschutzgebiet ist sehr schön.|B1
a umidade|die Nässe (kein Plural)|Die Nässe schadet den Wänden.|B1
a neblina, o nevoeiro|der Nebel, -|Es ist heute sehr nebelig.|B1
a entrada secundária|der Nebeneingang, -e|Der Nebeneingang ist hinten.|B1
os custos adicionais, as despesas de condomínio|die Nebenkosten (nur Plural)|Die Nebenkosten sind hoch.|A2
o sobrinho|der Neffe, -n|Mein Neffe ist noch klein.|B2
o nervo|der Nerv, -en|Das geht mir auf die Nerven.|A2
a rede|das Netz, -e|Das Netz ist voll mit Informationen.|B1
a novidade|die Neuigkeit, -en|Erzähl mir die Neuigkeiten!|B1
a sobrinha|die Nichte, -n|Meine Nichte kommt uns besuchen.|B2
o não-fumante|der Nichtraucher, -|Ich bin Nichtraucher.|B1
a precipitação (chuva, neve);|der Niederschlag, -e|Wir erwarten heute starken Niederschlag.|B2
o nível|das Niveau, -s|Das Niveau des Kurses ist hoch.|A2
a necessidade, a miséria|die Not, -e|In der Not hilft jeder.|B2
a nota (escolar, musical);|die Note, -n|Ich habe eine gute Note bekommen.|A2
o macarrão|die Nudel, -n|Ich esse gern Nudeln.|A1
o número|die Nummer, -n|Wie ist deine Telefonnummer?|A1
a noz|die Nuss, -e|Ich esse gern Nüsse.|B1
o nylon|das Nylon (kein Plural)|Diese Jacke ist aus Nylon.|B2
a fruta|das Obst (kein Pl.)|Obst ist gesund.|A2
o forno|der Ofen, -|Der Ofen ist heiß.|A2
o horário de funcionamento|die Öffnungszeit, -en|Was sind die Öffnungszeiten?|A2
a orelha|das Ohr, -en|Mir tut das Ohr weh.|A2
o óleo|das Öl, -e|Ich brauche Öl zum Kochen.|A2
a ecologia|die Ökologie, -n|Ökologie ist ein wichtiges Thema.|A2
o tio|der Onkel, -|Mein Onkel kommt uns besuchen.|A1
a loja online|der Onlineshop, -s|Ich kaufe gern im Onlineshop ein.|A2
o jogador online|der Onlinespieler, -|Er ist ein guter Onlinespieler.|A2
a ópera|die Oper, -n|Ich gehe gern in die Oper.|A2
a operação|die Operation, -en|Die Operation war erfolgreich.|A2
a orquestra|das Orchester, -|Das Orchester spielt wunderbar.|A2
a pasta (para documentos);|der Ordner, -|Ich brauche einen Ordner für diese Papiere.|B1
o organismo|der Organismus, die Organismen|Jeder Organismus hat seinen eigenen Stoffwechsel.|B1
a organização|die Organisation, -en|Die Organisation hilft armen Menschen.|A2
o lugar, o local|der Ort, -e|Das ist ein schöner Ort.|B1
o leste|der Osten (kein Plural)|Die Sonne geht im Osten auf.|A1
o casal, o par|das Paar, -e|Sie sind ein glückliches Paar.|A2
o pacote pequeno|das Päckchen, -|Ich habe ein Päckchen bekommen.|A2
o pacote|das Paket, -e|Ich sende ein Paket nach Hause.|A2
a pane, a avaria|die Panne, -n|Wir hatten eine Panne auf der Autobahn.|B2
o papel|das Papier (kein Pl.)|Ich brauche ein Blatt Papier.|A1
o parque|der Park, -s|Wir gehen in den Park.|A1
o estacionamento|der Parkplatz, -e|Der Parkplatz ist voll.|A2
a proibição de estacionar|der Parkverbot, -e|Hier ist Parkverbot.|A2
o parlamento|das Parlament, -e|Das Parlament tagt heute.|A2
o partido (político);|die Partei, -en|Welche Partei wählen Sie?|A2
parcial, partidário|parteiisch|Er ist sehr parteiisch in seiner Meinung.|B2
partidário|parteilich|Man sollte nicht parteilich sein.|B2
a parceria|die Partnerschaft, -en|Unsere Partnerschaft ist sehr gut.|B1
em parceria|partnerschaftlich|Wir arbeiten partnerschaftlich zusammen.|B2
a festa|die Party, -s|Wir machen eine Party.|A1
o patchwork (referindo-se a família misturada);|das Patchwork (kein Plural)|Patchwork-Familien sind heute sehr verbreitet.|B2
o paciente|der Patient, -en|Der Patient wartet auf den Arzt.|A2
a pausa, o intervalo|die Pause, -n|Machen wir eine Pause?|A1
o PC, o computador pessoal|der PC, -s (der Personal Computer, -)|Ich arbeite an meinem PC.|B1
a pensão (aposentadoria);|der Pension, -en|Er geht bald in Pension.|B1
o aposentado / a aposentada|der Pensionär, -e / die Pensionärin, -nen|Die Pensionäre reisen viel.|B1
a pessoa|die Person, -en|Ich kenne diese Person nicht.|B1
os dados pessoais|die Personalien (Plural)|Bitte geben Sie Ihre Personalien an.|B1
o pessoal, os funcionários|das Personal (kein Plural)|Das Personal ist sehr freundlich.|B1
o pesticida|die Pestizid, -e|Pestizide sind schädlich für die Umwelt.|B2
a pimenta|der Pfeffer, -|Ich mag keinen Pfeffer.|B1
o Pfennig (antiga moeda alemã);|der Pfennig, -e|Ich habe noch ein paar Pfennige.|B1
o cavalo|das Pferd, -e|Das Pferd läuft schnell.|A2
a fase|die Phase, -n|Das ist eine neue Phase im Projekt.|B1
o filósofo|der Philosoph, -en|Philosophen denken über das Leben nach.|B1
a filosofia|die Philosophie, -n|Philosophie ist ein altes Fach.|B1
a pílula|die Pille, -n|Ich nehme eine Pille gegen Kopfschmerzen.|B1
o piloto / a piloto|der Pilot, -en / die Pilotin, -nen|Der Pilot fliegt das Flugzeug.|A2
o cogumelo|der Pilz, -e|Ich esse gern Pilze.|A2
a pizza|die Pizza, die Pizzen|Ich esse gern Pizza.|A1
o cartaz|das Plakat, -e|Das Plakat hängt an der Wand.|B2
o plano, o mapa|der Plan, -e|Hast du einen Plan für das Wochenende?|A1
o lugar, a praça|der Platz, -e|Der Platz ist schön.|A1
o cuidado, a enfermagem|die Pflege (kein Pl.)|Die Pflege alter Menschen ist wichtig.|B2
o seguro-cuidado|die Pflegeversicherung, -en|Die Pflegeversicherung zahlt die Kosten.|B2
a política|die Politik (kaum Plural)|Politik ist sehr komplex.|A2
o político / a política|der Politiker, - / die Politikerin, -nen|Der Politiker hält eine Rede.|A2
a polícia|die Polizei (kein Plural)|Die Polizei ist da.|A1
o policial / a policial|der Polizist, -en / die Polizistin, -nen|Der Polizist hilft den Leuten.|A2
as batatas fritas|die Pommes frites (nur Plural)|Ich esse gern Pommes frites.|A1
a porção|die Portion, -en|Ich möchte eine kleine Portion.|B1
o porte (postal);|das Porto, -s|Wie viel Porto kostet der Brief?|B2
a carteira|das Portemonnaie, -s|Ich habe mein Portemonnaie verloren.|B1
a posição, o cargo|die Position, -en|Er hat eine gute Position in der Firma.|B1
positivo/a|positiv|Das Ergebnis ist positiv.|A1
o correio|das Postamt, -er|Ich gehe zum Postamt.|A2
o correio, a correspondência|die Post (kein Plural)|Ich habe Post bekommen.|A1
a caixa postal|das Postfach, -er|Meine Post kommt ins Postfach.|B1
o cartão postal|die Postkarte, -n|Ich schicke dir eine Postkarte.|A1
